Week,Total<1,Total1-4,Total5-9,Total10-14,Total15-19,Total20-24,Total25-29,Total30-34,Total35-39,Total40-44,Total45-49,Total50-54,Total55-59,Total60-64,Total65-69,Total70-74,Total75-79,Total80-84,Total85-89,Total90+,F<1,F1-4,F5-9,F10-14,F15-19,F20-24,F25-29,F30-34,F35-39,F40-44,F45-49,F50-54,F55-59,F60-64,F65-69,F70-74,F75-79,F80-84,F85-89,F90+,M<1,M1-4,M5-9,M10-14,M15-19,M20-24,M25-29,M30-34,M35-39,M40-44,M45-49,M50-54,M55-59,M60-64,M65-69,M70-74,M75-79,M80-84,M85-89,M90+
28-Feb-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06-Mar-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
13-Mar-20,0,0,0,0,0,0,0,0,0,1,0,0,1,4,5,6,2,6,8,7,0,0,0,0,0,0,0,0,0,1,0,0,0,3,1,2,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,4,1,6,7,5
20-Mar-20,0,0,0,0,0,1,1,0,0,2,7,16,13,20,27,35,46,73,84,67,0,0,0,0,0,1,1,0,0,1,5,8,5,9,11,13,16,33,39,35,0,0,0,0,0,0,0,0,0,1,2,8,8,11,16,22,30,40,45,32
27-Mar-20,0,0,0,0,2,1,3,11,9,9,26,37,71,90,126,210,285,340,323,263,0,0,0,0,1,1,2,3,4,2,13,13,25,28,44,74,95,118,142,124,0,0,0,0,1,0,1,8,5,7,13,24,46,62,82,136,190,222,181,139
03-Apr-20,0,0,0,0,3,5,5,12,14,27,70,92,191,269,354,572,784,981,832,778,0,0,0,0,2,2,3,4,4,11,29,31,73,84,112,183,274,359,331,396,0,0,0,0,1,3,2,8,10,16,41,61,118,185,242,389,510,622,501,382
10-Apr-20,0,0,0,1,1,2,12,9,25,44,81,165,251,410,506,818,1158,1495,1473,1382,0,0,0,1,0,0,4,6,8,16,27,68,78,137,173,281,416,578,603,756,0,0,0,0,1,2,8,3,17,28,54,97,173,273,333,537,742,917,870,626
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
