`,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,28-Feb-20,06-Mar-20,13-Mar-20,20-Mar-20,27-Mar-20,03-Apr-20,10-Apr-20
,,,,,,,,,,,,,0,3,40,392,"1,806","4,989","7,833"
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Age,28-Feb-20,06-Mar-20,13-Mar-20,20-Mar-20,27-Mar-20,03-Apr-20,10-Apr-20,,,,,,,,,,,
,<1,0,0,0,0,0,0,0,,,,,,,,,,,
,01-Apr,0,0,0,0,0,0,0,,,,Week.ended,Week.number,Total.Deaths,,,,,
,05-Sep,0,0,0,0,0,0,0,,,,28-Feb-20,1,0,,,,,
,Oct-14,0,0,0,0,0,0,1,,,,06-Mar-20,2,3,,,,,
,15-19,0,0,0,0,2,3,1,,,,13-Mar-20,3,40,,,,,
,20-24,0,0,0,1,1,5,2,,,,20-Mar-20,4,392,,,,,
,25-29,0,0,0,1,3,5,12,,,,27-Mar-20,5,"1,806",,,,,
,30-34,0,0,0,0,11,12,9,,,,03-Apr-20,6,"4,989",,,,,
,35-39,0,0,0,0,9,14,25,,,,10-Apr-20,7,"7,833",,,,,
,40-44,0,0,1,2,9,27,44,,,,,,,,,,,
,45-49,0,0,0,7,26,70,81,,,,,,,,,,,
,50-54,0,0,0,16,37,92,165,,,,,,,,,,,
,55-59,0,0,1,13,71,191,251,,,,,,,,,,,
,60-64,0,0,4,20,90,269,410,,,,,,,,,,,
,65-69,0,0,5,27,126,354,506,,,,,,,,,,,
,70-74,0,0,6,35,210,572,818,,,,,,,,,,,
,75-79,0,1,2,46,285,784,"1,158",,,,,,,,,,,
,80-84,0,1,6,73,340,981,"1,495",,,,,,,,,,,
,85-89,0,0,8,84,323,832,"1,473",,,,,,,,,,,
,90+,0,1,7,67,263,778,"1,382",,,,,,,,,,,
,Males 4,,,,,,,,,,,,,,,,,,
,Age,28-Feb-20,06-Mar-20,13-Mar-20,20-Mar-20,27-Mar-20,03-Apr-20,10-Apr-20,,,,,,,,,,,
,<1,0,0,0,0,0,0,0,,,,,,,,,,,
,01-Apr,0,0,0,0,0,0,0,,,,,,,,,,,
,05-Sep,0,0,0,0,0,0,0,,,,,,,,,,,
,Oct-14,0,0,0,0,0,0,0,,,,,,,,,,,
,15-19,0,0,0,0,1,1,1,,,,,,,,,,,
,20-24,0,0,0,0,0,3,2,,,,,,,,,,,
,25-29,0,0,0,0,1,2,8,,,,,,,,,,,
,30-34,0,0,0,0,8,8,3,,,,,,,,,,,
,35-39,0,0,0,0,5,10,17,,,,,,,,,,,
,40-44,0,0,0,1,7,16,28,,,,,,,,,,,
,45-49,0,0,0,2,13,41,54,,,,,,,,,,,
,50-54,0,0,0,8,24,61,97,,,,,,,,,,,
,55-59,0,0,1,8,46,118,173,,,,,,,,,,,
,60-64,0,0,1,11,62,185,273,,,,,,,,,,,
,65-69,0,0,4,16,82,242,333,,,,,,,,,,,
,70-74,0,0,4,22,136,389,537,,,,,,,,,,,
,75-79,0,0,1,30,190,510,742,,,,,,,,,,,
,80-84,0,1,6,40,222,622,917,,,,,,,,,,,
,85-89,0,0,7,45,181,501,870,,,,,,,,,,,
,90+,0,0,5,32,139,382,626,,,,,,,,,,,
,Females 4,,,,,,,,,,,,,,,,,,
,Age,28-Feb-20,06-Mar-20,13-Mar-20,20-Mar-20,27-Mar-20,03-Apr-20,10-Apr-20,,,,,,,,,,,
,<1,0,0,0,0,0,0,0,,,,,,,,,,,
,01-Apr,0,0,0,0,0,0,0,,,,,,,,,,,
,05-Sep,0,0,0,0,0,0,0,,,,,,,,,,,
,Oct-14,0,0,0,0,0,0,1,,,,,,,,,,,
,15-19,0,0,0,0,1,2,0,,,,,,,,,,,
,20-24,0,0,0,1,1,2,0,,,,,,,,,,,
,25-29,0,0,0,1,2,3,4,,,,,,,,,,,
,30-34,0,0,0,0,3,4,6,,,,,,,,,,,
,35-39,0,0,0,0,4,4,8,,,,,,,,,,,
,40-44,0,0,1,1,2,11,16,,,,,,,,,,,
,45-49,0,0,0,5,13,29,27,,,,,,,,,,,
,50-54,0,0,0,8,13,31,68,,,,,,,,,,,
,55-59,0,0,0,5,25,73,78,,,,,,,,,,,
,60-64,0,0,3,9,28,84,137,,,,,,,,,,,
,65-69,0,0,1,11,44,112,173,,,,,,,,,,,
,70-74,0,0,2,13,74,183,281,,,,,,,,,,,
,75-79,0,1,1,16,95,274,416,,,,,,,,,,,
,80-84,0,0,0,33,118,359,578,,,,,,,,,,,
,85-89,0,0,1,39,142,331,603,,,,,,,,,,,
,90+,0,1,2,35,124,396,756,,,,,,,,,,,
,Region,28-Feb-20,06-Mar-20,13-Mar-20,20-Mar-20,27-Mar-20,03-Apr-20,10-Apr-20,,,,,,,,,,,
,North East,0,0,0,4,42,215,404,,,,,,,,,,,
,North West,0,0,5,35,164,631,"1,080",,,,,,,,,,,
,Yorkshire and The Humber,0,0,0,11,58,282,579,,,,,,,,,,,
,East Midlands,0,0,2,19,92,287,522,,,,,,,,,,,
,West Midlands,0,0,10,55,238,696,852,,,,,,,,,,,
,East,0,1,3,13,144,465,718,,,,,,,,,,,
,London,0,0,16,161,694,1427,"1,829",,,,,,,,,,,
,South East,0,2,3,63,235,567,"1,033",,,,,,,,,,,
,South West,0,0,1,15,61,221,429,,,,,,,,,,,
